location,longitude,latitude,NDVI_Landsat_mean,NDVI_Landsat_std,NDVI_texture,NIR,Red,SWOIR1,SWOIR2,TPI,aspect,brightness,current_NDVI,elevation,slope
namibia,15.909163681756727,-25.018080662728675,0.07619999349117279,0.013809001574702606,0.01143595058751017,3698.4,2995.8333333333335,4726.833333333333,4346.25,0,63.85688018798828,3347.116666666667,0.10495102405548096,1064,0.427568644285202
namibia,15.927129987439116,-25.018080662728675,0.07505574077367783,0.011351599434929643,0.01199216756202877,3693.0,2984.375,4731.5,4427.0,0,332.7514343261719,3338.6875,0.10612329095602036,1053,0.2445133775472641
namibia,15.945096293121507,-25.018080662728675,0.07740096747875214,0.010814408677176658,0.015042539345638862,3691.5,2988.75,4776.0,4456.0,0,343.1462097167969,3340.125,0.10519815981388092,1071,0.7722181081771851
namibia,15.963062598803898,-25.018080662728675,0.07614310830831528,0.0158191948968545,0.01691868390890465,3731.0,3054.4545454545455,4829.666666666667,4488.5,0,22.998912811279297,3392.727272727273,0.09970524907112122,1067,1.4323562383651733
namibia,15.981028904486289,-25.018080662728675,0.06333361566066742,0.018234764975168665,0.017316846157870828,3513.8,2950.8333333333335,4517.333333333333,4179.666666666667,0,26.3443603515625,3232.3166666666666,0.0870840847492218,1036,1.2611790895462036
namibia,15.998995210168678,-25.018080662728675,0.044684965163469315,0.017540133755163438,0.016164765370761412,2702.416666666667,2403.5,3586.333333333333,3364.0,0,323.2389221191406,2552.9583333333335,0.05854319408535957,1032,1.1756408214569092
namibia,16.01696151585107,-25.018080662728675,0.049765732139348984,0.01003354932935026,0.013880917478714071,2446.0,2100.5,3299.3333333333335,3032.25,0,325.0291442871094,2273.25,0.07599252462387085,1080,2.5096957683563232
namibia,16.034927821533458,-25.018080662728675,0.05630902945995331,0.015145161787820372,0.009919559376371064,2563.4,2201.0,3534.25,3234.3333333333335,0,354.57708740234375,2382.2,0.07606413960456848,1122,5.399239540100098
namibia,16.05289412721585,-25.018080662728675,0.0584082268178463,0.014902685275238456,0.01008391293988368,2488.625,2125.0,3359.333333333333,3005.583333333333,0,338.9514465332031,2306.8125,0.07881546765565872,1112,6.033572673797607
namibia,16.07086043289824,-25.018080662728675,0.06121943145990372,0.010877131077910867,0.011319845419414982,2291.3333333333335,1937.5,2981.3333333333335,2674.5,0,356.27703857421875,2114.416666666667,0.08367162197828293,1258,6.134078025817871
namibia,15.909163681756727,-25.000114357046286,0.07544837892055511,0.0131151026885611,0.010865131707091073,3901.0,3169.0,4949.5,4617.0,0,30.378408432006836,3535.0,0.10353606939315796,1036,0.5375328063964844
namibia,15.927129987439116,-25.000114357046286,0.0732317641377449,0.011123253670655128,0.010904298727711531,3790.0,3105.6666666666665,4788.0,4559.0,0,176.61709594726562,3447.833333333333,0.09924107044935226,1043,0.81291663646698
namibia,15.945096293121507,-25.000114357046286,0.07230102270841599,0.010565295340581303,0.01340439233884706,3684.1428571428573,3029.5714285714284,4684.0,4397.5,0,123.81639862060547,3356.857142857143,0.09749765694141388,1033,0.442668616771698
namibia,15.963062598803898,-25.000114357046286,0.0702047199010849,0.01232302662236762,0.015124696207350154,3609.0,2982.4,4563.333333333333,4323.75,0,57.08340072631836,3295.7,0.09506326168775558,1020,0.6666783690452576
namibia,15.981028904486289,-25.000114357046286,0.06682270020246506,0.01330141805787881,0.015347445238171836,3606.714285714286,3017.1428571428573,4635.8,4329.5,0,32.85851287841797,3311.9285714285716,0.08900726586580276,998,0.7073030471801758
namibia,15.998995210168678,-25.000114357046286,0.061272215098142624,0.01314345401776935,0.014247341745858868,3567.0,3035.1428571428573,4542.25,4250.5,0,347.94476318359375,3301.0714285714284,0.08055826276540756,996,0.918690025806427
namibia,16.01696151585107,-25.000114357046286,0.05656580626964569,0.011951025355086927,0.01272549806730108,3391.866666666667,2930.75,4300.166666666667,4002.6,0,344.1594543457031,3161.3083333333334,0.07293130457401276,1010,1.5813292264938354
namibia,16.034927821533458,-25.000114357046286,0.06552743166685104,0.018179019781880024,0.009542961283160475,3499.0,2983.625,4522.6,4146.666666666667,0,343.9026184082031,3241.3125,0.07950097322463989,1023,1.9600822925567627
namibia,16.05289412721585,-25.000114357046286,0.061281003057956696,0.016075729380122365,0.009177278925279756,2863.0,2430.25,3591.083333333333,3278.5,0,328.9577941894531,2646.625,0.08175506442785263,1044,1.674048662185669
namibia,16.07086043289824,-25.000114357046286,0.055304694920778275,0.013585855253698485,0.010557424036036942,2817.416666666667,2407.083333333333,3365.0,3113.666666666667,0,348.3109436035156,2612.25,0.07854021340608597,1077,3.3112740516662598
namibia,15.909163681756727,-24.982148051363893,0.06010863184928894,0.009065835383925304,0.009615854399723667,2547.0,2089.0,3340.0,3020.0,0,268.2977600097656,2318.0,0.09879206120967865,1032,0.9756317734718323
namibia,15.927129987439116,-24.982148051363893,0.06661184877157211,0.008379954275546242,0.009594387780411731,3461.0,2842.3333333333335,4402.666666666667,4037.0,0,237.07962036132812,3151.666666666667,0.0981491282582283,1109,1.0665016174316406
namibia,15.945096293121507,-24.982148051363893,0.07753348350524902,0.012308771966808288,0.011568833185512079,4024.0,3290.2,5066.25,4724.25,0,120.18759155273438,3657.1,0.10032539814710617,1088,1.239101529121399
namibia,15.963062598803898,-24.982148051363893,0.07186255604028702,0.00875413123242422,0.012864721021691993,3833.5,3193.0,4807.0,4566.0,0,109.33430480957031,3513.25,0.09115491062402725,1042,1.5753991603851318
namibia,15.981028904486289,-24.982148051363893,0.06401520222425461,0.011032082460096002,0.013009423841381205,3425.5,2857.5,4300.0,4098.0,0,101.38835144042969,3141.5,0.09040267020463943,995,1.1741242408752441
namibia,15.998995210168678,-24.982148051363893,0.06403498351573944,0.02568670903950387,0.012100852481467873,2953.2,2507.25,3523.4,3157.0,0,42.5948371887207,2730.225,0.08166909217834473,970,0.4724545180797577
namibia,16.01696151585107,-24.982148051363893,0.058736395090818405,0.013972811063204936,0.011104577190553114,2718.5833333333335,2343.5,3208.6666666666665,2950.7,0,331.11761474609375,2531.041666666667,0.07409663498401642,975,0.7281934022903442
namibia,16.034927821533458,-24.982148051363893,0.05610475316643715,0.017853901837230967,0.008859774350580333,3112.25,2659.8,3879.5,3590.6,0,315.72607421875,2886.025,0.07838635891675949,992,0.870252788066864
namibia,16.05289412721585,-24.982148051363893,0.05760309845209122,0.013796910210692254,0.008206402829002216,3051.6666666666665,2575.5,3644.0,3403.0,0,317.7428283691406,2813.583333333333,0.08461926132440567,1013,0.9984943270683289
namibia,16.07086043289824,-24.982148051363893,0.05248548462986946,0.018462858640032834,0.00975362414539766,2660.2,2298.3333333333335,3146.6666666666665,2910.666666666667,0,330.0439453125,2479.2666666666664,0.07297857105731964,1034,1.120537519454956
namibia,15.909163681756727,-24.964181745681504,0.0764409676194191,0.007920012991041425,0.009533596961664136,4246.0,3502.0,5294.5,4896.0,0,293.7647705078125,3874.0,0.0960247814655304,1038,0.6113298535346985
namibia,15.927129987439116,-24.964181745681504,0.07690996676683426,0.007158229640596115,0.008447145521925804,4292.0,3526.4,5419.0,5017.666666666667,0,336.8420715332031,3909.2,0.09792284667491913,1083,1.5443103313446045
namibia,15.945096293121507,-24.964181745681504,0.07718057185411453,0.008641882059500814,0.009661764343384931,4301.0,3530.5,5474.666666666667,5069.0,0,19.73996353149414,3915.75,0.09838473051786423,1076,1.2777256965637207
namibia,15.963062598803898,-24.964181745681504,0.07691279798746109,0.008589001349263433,0.009768317294538136,4258.333333333333,3506.5,5425.0,5035.0,0,57.841270446777344,3882.4166666666665,0.09682542830705643,1056,1.1705999374389648
namibia,15.981028904486289,-24.964181745681504,0.07647453248500824,0.010607864288860357,0.009728839435551376,4250.5,3516.0,5437.0,5108.2,0,84.45231628417969,3883.25,0.09457284212112427,1014,1.3489058017730713
namibia,15.998995210168678,-24.964181745681504,0.06787056475877762,0.014080608112964993,0.009013954840095309,3672.090909090909,3130.4285714285716,4454.5,4213.857142857143,0,95.39450073242188,3401.2597402597403,0.07962672412395477,972,0.7707018852233887
namibia,16.01696151585107,-24.964181745681504,0.05567843094468117,0.013339391984985237,0.008177465828762458,2812.0,2418.6,3376.770833333333,3115.0,0,299.5353088378906,2615.3,0.07521125674247742,966,0.1469898521900177
namibia,16.034927821533458,-24.964181745681504,0.0594286173582077,0.014194300576466983,0.007498638841412512,2889.0,2460.8,3668.0,3422.0,0,296.7312927246094,2674.9,0.08004037290811539,980,0.4832639992237091
namibia,16.05289412721585,-24.964181745681504,0.055481426417827606,0.01330416298668996,0.008192071210505313,2861.375,2456.75,3526.5,3267.0,0,305.9507751464844,2659.0625,0.07608414441347122,993,0.5924079418182373
namibia,16.07086043289824,-24.964181745681504,0.06565965712070465,0.019218649576027244,0.009738574276015752,3784.25,3260.3333333333335,4359.0,4081.3333333333335,0,302.39825439453125,3522.291666666667,0.07437156140804291,1010,0.7572840452194214
namibia,15.909163681756727,-24.94621543999911,0.07373837381601334,0.006629378681556323,0.010795662317345321,4090.0,3387.0,5179.8,4822.0,0,17.335874557495117,3738.5,0.09402166306972504,1015,0.8045762777328491
namibia,15.927129987439116,-24.94621543999911,0.07465792447328568,0.007168093628244228,0.008829888930592993,4233.75,3498.0,5323.0,4976.0,0,5.208227634429932,3865.875,0.09515956789255142,1011,1.7602533102035522
namibia,15.945096293121507,-24.94621543999911,0.07425810396671295,0.00706457195560239,0.00832940573705411,4190.0,3453.3333333333335,5365.0,5020.0,0,5.76915979385376,3821.666666666667,0.09638028591871262,1005,1.9074177742004395
namibia,15.963062598803898,-24.94621543999911,0.07595265656709671,0.006898693101244327,0.008092314098980072,4192.0,3461.0,5388.0,5071.0,0,12.567682266235352,3826.5,0.095518097281456,999,1.3954176902770996
namibia,15.981028904486289,-24.94621543999911,0.0736611932516098,0.008160529507716974,0.007957703914294385,4089.0,3378.25,5263.0,4906.0,0,34.16596221923828,3733.625,0.09518229961395264,986,0.6830471754074097
namibia,15.998995210168678,-24.94621543999911,0.06924125552177429,0.00975599297144948,0.007413137270757548,3653.8333333333335,3003.8,4788.666666666667,4446.452380952381,0,108.778076171875,3328.8166666666666,0.09763729572296143,975,0.2701170742511749
