location,longitude,latitude,NDVI_Landsat_mean,NDVI_Landsat_std,NDVI_texture,NIR,Red,SWOIR1,SWOIR2,TPI,aspect,brightness,current_NDVI,elevation,slope,pca_feature_1,pca_feature_2,pca_feature_3,pca_feature_4,pca_feature_5
namibia,15.909163681756729,-25.018080662728675,0.0761999934911727,0.0138090015747026,0.0114359505875101,3698.4,2995.8333333333335,4726.833333333333,4346.25,0,63.85688018798828,3347.116666666667,0.1049510240554809,1064,0.427568644285202,2.484575234578906,-1.0102869761393005,-1.1969991028344282,-0.48908222983075944,0.5326319905508288
namibia,15.927129987439116,-25.018080662728675,0.0750557407736778,0.0113515994349296,0.0119921675620287,3693.0,2984.375,4731.5,4427.0,0,332.7514343261719,3338.6875,0.1061232909560203,1053,0.2445133775472641,2.3136366343775805,-1.4330741235738917,0.9373720019603404,-1.2591735827118096,0.6999330214386055
namibia,15.945096293121509,-25.018080662728675,0.0774009674787521,0.0108144086771766,0.0150425393456388,3691.5,2988.75,4776.0,4456.0,0,343.1462097167969,3340.125,0.1051981598138809,1071,0.7722181081771851,2.400680311593397,-1.6512739182256482,1.0819136118127834,-0.7687378671290209,0.6371299977259751
namibia,15.963062598803898,-25.018080662728675,0.0761431083083152,0.0158191948968545,0.0169186839089046,3731.0,3054.4545454545455,4829.666666666667,4488.5,0,22.998912811279297,3392.727272727273,0.0997052490711212,1067,1.4323562383651731,2.7890142273999015,-1.2435088851799636,-1.3996498228266607,0.5415859366175356,0.2793346905203153
namibia,15.981028904486289,-25.018080662728675,0.0633336156606674,0.0182347649751686,0.0173168461578708,3513.8,2950.8333333333335,4517.333333333333,4179.666666666667,0,26.3443603515625,3232.3166666666666,0.0870840847492218,1036,1.2611790895462036,2.286648292450287,-1.4214498503063167,-1.464524608965566,0.3285802763205634,-0.016767061683775154
namibia,15.998995210168678,-25.018080662728675,0.0446849651634693,0.0175401337551634,0.0161647653707614,2702.416666666667,2403.5,3586.333333333333,3364.0,0,323.2389221191406,2552.9583333333335,0.0585431940853595,1032,1.1756408214569092,0.4601486547938883,-2.7055030545342933,0.7430511192462546,-0.36416655477694626,-0.5981438278949343
namibia,16.01696151585107,-25.018080662728675,0.0497657321393489,0.0100335493293502,0.013880917478714,2446.0,2100.5,3299.3333333333335,3032.25,0,325.0291442871094,2273.25,0.0759925246238708,1080,2.5096957683563232,-0.023484490790257426,-3.546909851071457,0.8937646464634046,1.069700043625062,-0.5785663019450255
namibia,16.034927821533458,-25.018080662728675,0.0563090294599533,0.0151451617878203,0.009919559376371,2563.4,2201.0,3534.25,3234.3333333333335,0,354.57708740234375,2382.2,0.0760641396045684,1122,5.399239540100098,0.774635134722542,-4.485297940891476,1.6251008248115055,3.9338004474278603,-1.1401356690337758
namibia,16.05289412721585,-25.018080662728675,0.0584082268178463,0.0149026852752384,0.0100839129398836,2488.625,2125.0,3359.333333333333,3005.583333333333,0,338.9514465332031,2306.8125,0.0788154676556587,1112,6.033572673797607,0.5875344614729283,-4.744969634721035,1.581569042455564,4.649229927599086,-1.290819910308914
namibia,16.07086043289824,-25.018080662728675,0.0612194314599037,0.0108771310779108,0.0113198454194149,2291.3333333333335,1937.5,2981.3333333333335,2674.5,0,356.27703857421875,2114.416666666667,0.0836716219782829,1258,6.134078025817871,0.07509252327962464,-5.2468426361399265,1.6533289076643818,4.799007740536473,-1.1461043332430911
namibia,15.909163681756729,-25.00011435704629,0.0754483789205551,0.0131151026885611,0.010865131707091,3901.0,3169.0,4949.5,4617.0,0,30.378408432006836,3535.0,0.1035360693931579,1036,0.5375328063964844,3.0002524578105496,-0.8625718197486014,-1.4382523619164567,-0.3975354847422223,0.5963777007699086
namibia,15.927129987439116,-25.00011435704629,0.0732317641377449,0.0111232536706551,0.0109042987277115,3790.0,3105.6666666666665,4788.0,4559.0,0,176.61709594726562,3447.833333333333,0.0992410704493522,1043,0.81291663646698,2.7564051347936442,-1.3847404709709754,-0.26053249151765445,-0.45190500118897076,0.5479894285486684
namibia,15.945096293121509,-25.00011435704629,0.0723010227084159,0.0105652953405813,0.013404392338847,3684.142857142858,3029.5714285714284,4684.0,4397.5,0,123.81639862060548,3356.857142857143,0.0974976569414138,1033,0.442668616771698,2.46381677058948,-1.2280095766315184,-0.7694952228829244,-0.704827859707555,0.5421414801665135
namibia,15.963062598803898,-25.00011435704629,0.0702047199010849,0.0123230266223676,0.0151246962073501,3609.0,2982.4,4563.333333333333,4323.75,0,57.08340072631836,3295.7,0.0950632616877555,1020,0.6666783690452576,2.349424293026696,-1.2199031378664416,-1.2912102286392984,-0.3383204530243546,0.36899619288596225
namibia,15.981028904486289,-25.00011435704629,0.066822700202465,0.0133014180578788,0.0153474452381718,3606.714285714286,3017.1428571428573,4635.8,4329.5,0,32.85851287841797,3311.9285714285716,0.0890072658658027,998,0.7073030471801758,2.4256111508771654,-1.182049505257548,-1.4883096374351412,-0.29033457429481,0.2595527851126291
namibia,15.998995210168678,-25.00011435704629,0.0612722150981426,0.0131434540177693,0.0142473417458588,3567.0,3035.1428571428573,4542.25,4250.5,0,347.94476318359375,3301.0714285714284,0.0805582627654075,996,0.918690025806427,2.2273644104616923,-1.9254114846888752,1.060300657459252,-0.7765369882094191,0.18837554848550164
namibia,16.01696151585107,-25.00011435704629,0.0565658062696456,0.0119510253550869,0.012725498067301,3391.866666666667,2930.75,4300.166666666667,4002.6,0,344.1594543457031,3161.3083333333334,0.0729313045740127,1010,1.5813292264938354,1.9623191108695681,-2.438978536100686,1.0627250225687328,-0.12225906513191129,-0.05809649971049979
namibia,16.034927821533458,-25.00011435704629,0.065527431666851,0.01817901978188,0.0095429612831604,3499.0,2983.625,4522.6,4146.666666666667,0,343.9026184082031,3241.3125,0.0795009732246398,1023,1.9600822925567627,2.2941412630492914,-2.232405120671653,1.2423615895594406,0.38006760804214434,-0.17216062684633085
namibia,16.05289412721585,-25.00011435704629,0.0612810030579566,0.0160757293801223,0.0091772789252797,2863.0,2430.25,3591.083333333333,3278.5,0,328.9577941894531,2646.625,0.0817550644278526,1044,1.674048662185669,0.64730559768908,-2.677960385166744,0.9740873118982465,0.30574519777634335,-0.3833766624013658
